ID,School_Name,System_ID,Type,School_Phone,Enrollment_Count,Teacher_Count,Teachers_Less_Than_1_Year_Experience_(%),Teachers_Between_1_and_10_Years_Experience_(%),Teachers_Between_11_and_20_Years_Experience_(%),Teachers Between_21_and_30_Years_Experience_(%),Teachers_Greater_Than_30_Years_Experience_(%)
88,Heritage Elementary School,611,Elementary School,478.779.4715,618.0,47.0,4.0,38.0,23.0,17.0,17.0
89,Union Elementary School,611,Elementary School,478.773.2629,452.0,35.0,6.0,37.0,23.0,20.0,14.0
90,Brookdale Elementary School,611,Elementary School,478.779.2783,324.0,24.0,4.0,42.0,46.0,8.0,0.0
91,Alexander II Magnet School,611,Elementary School,478.779.2679,472.0,35.0,3.0,37.0,17.0,29.0,14.0
92,Bernd Elementary School,611,Elementary School,478.779.2730,425.0,26.0,15.0,42.0,23.0,19.0,0.0
93,Porter Elementary School,611,Elementary School,478.779.4350,389.0,30.0,13.0,37.0,20.0,23.0,7.0
94,Springdale Elementary School,611,Elementary School,478.779.3750,573.0,42.0,12.0,33.0,31.0,19.0,5.0
95,Carter Elementary School,611,Elementary School,478.779.3350,414.0,34.0,0.0,53.0,18.0,24.0,6.0
96,Lane Elementary School,611,Elementary School,478.779.3150,407.0,28.0,4.0,50.0,25.0,18.0,4.0
97,Martin Luther King Jr Elementary School,611,Elementary School,478.779.2100,668.0,44.0,18.0,48.0,16.0,11.0,7.0
98,Southfield Elementary School,611,Elementary School,478.779.4800,833.0,61.0,12.0,44.0,13.0,18.0,13.0
99,Veterans Elementary School,611,Elementary School,478.779.4800,747.0,49.0,18.0,39.0,27.0,14.0,2.0
100,Hartley Elementary School,611,Elementary School,478.779.2500,446.0,33.0,18.0,42.0,12.0,9.0,18.0
101,Heard Elementary School,611,Elementary School,478.779.4250,512.0,39.0,0.0,41.0,31.0,23.0,5.0
102,Ingram/Pye Elementary School,611,Elementary School,478.779.3000,404.0,28.0,4.0,57.0,21.0,14.0,4.0
103,Appling Middle School,611,Middle School,478.779.2200,616.0,41.0,10.0,49.0,27.0,10.0,5.0
104,Bleckley County High School,612,High School,478.934.6258,678.0,47.0,6.0,15.0,45.0,28.0,6.0
105,Bleckley Middle School,612,Middle School,478.934.7270,517.0,43.0,2.0,28.0,30.0,26.0,14.0
106,Bleckley County Success Academy,612,High School,478.934.1685,49.0,5.0,0.0,20.0,40.0,0.0,40.0
107,Bleckley County Elementary School,612,Elementary School,478.934.3600,589.0,42.0,7.0,24.0,43.0,24.0,2.0
108,Bleckley County Primary School,612,Elementary School,478.934.2280,573.0,41.0,0.0,24.0,37.0,32.0,7.0
109,Waynesville Primary School,613,Elementary School,912.778.3068,355.0,33.0,0.0,21.0,61.0,18.0,0.0
110,Atkinson Elementary School,613,Elementary School,912.778.6098,254.0,22.0,14.0,36.0,36.0,9.0,5.0
111,Brantley County Middle School,613,Middle School,912.462.7092,489.0,37.0,3.0,41.0,32.0,24.0,0.0
112,Nahunta Elementary School,613,Elementary School,912.462.5166,281.0,22.0,5.0,27.0,59.0,9.0,0.0
113,Brantley County High School,613,High School,912.462.5121,988.0,57.0,9.0,33.0,28.0,19.0,11.0
114,Hoboken Elementary School,613,Elementary School,912.458.2135,512.0,40.0,5.0,28.0,38.0,28.0,3.0
115,Nahunta Primary School,613,Elementary School,912.462.5179,379.0,33.0,3.0,12.0,36.0,46.0,3.0
116,Brooks County High School,614,High School,229.588.2341,486.0,33.0,3.0,49.0,27.0,12.0,9.0
117,Quitman Elementary School,614,Elementary School,229.588.2343,617.0,44.0,2.0,43.0,32.0,18.0,5.0
118,Brooks County Middle School,614,Middle School,229.588.2342,471.0,32.0,9.0,63.0,19.0,9.0,0.0
119,North Brooks Elementary School,614,Elementary School,229.588.2344,379.0,30.0,7.0,60.0,17.0,13.0,3.0
120,Delta Innovative School,614,High School,229.588.2351,103.0,5.0,0.0,60.0,0.0,20.0,20.0
122,Dr. George Washington Carver Elementary School,615,Elementary School,912.459.5111,772.0,54.0,4.0,35.0,35.0,22.0,4.0
123,Richmond Hill High School,615,High School,912.459.5151,2272.0,121.0,7.0,41.0,34.0,15.0,3.0
124,Richmond Hill Middle School,615,Middle School,912.459.5130,1755.0,100.0,3.0,43.0,35.0,18.0,1.0
125,Richmond Hill Primary School,615,Elementary School,912.459.5080,669.0,50.0,4.0,46.0,32.0,18.0,0.0
126,Lanier Primary School,615,Elementary School,912.626.5020,452.0,42.0,7.0,36.0,29.0,29.0,0.0
127,Bryan County Elementary School,615,Elementary School,912.626.5033,452.0,40.0,0.0,45.0,35.0,18.0,3.0
128,Richmond Hill Elementary School,615,Elementary School,912.459.5100,682.0,47.0,0.0,28.0,34.0,36.0,2.0
129,Bryan County Middle School,615,Middle School,912.626.5050,481.0,37.0,16.0,49.0,30.0,5.0,0.0
130,Bryan County High School,615,High School,912.626.5060,563.0,39.0,3.0,31.0,46.0,15.0,5.0
131,McAllister Elementary School,615,Elementary School,912.851.4040,1225.0,78.0,5.0,46.0,36.0,13.0,0.0
132,Mill Creek Elementary School,616,Elementary School,912.212.8780,586.0,47.0,2.0,32.0,40.0,17.0,9.0
133,Nevils Elementary School,616,Elementary School,912.842.8320,409.0,37.0,5.0,22.0,43.0,24.0,5.0
134,William James Middle School,616,Middle School,912.212.8820,651.0,42.0,2.0,43.0,26.0,29.0,0.0
135,Langston Chapel Elementary School,616,Elementary School,912.212.8700,536.0,46.0,9.0,26.0,24.0,37.0,4.0
136,Brooklet Elementary School,616,Elementary School,912.842.8300,688.0,48.0,4.0,31.0,31.0,29.0,4.0
137,Southeast Bulloch High School,616,High School,912.842.8440,1031.0,57.0,4.0,23.0,54.0,18.0,2.0
138,Langston Chapel Middle School,616,Middle School,912.212.8720,710.0,45.0,11.0,40.0,27.0,18.0,4.0
139,Southeast Bulloch Middle School,616,Middle School,912.842.8400,812.0,52.0,6.0,37.0,29.0,25.0,4.0
140,Portal Elementary School,616,Elementary School,912.842.8340,347.0,30.0,0.0,37.0,23.0,37.0,3.0
141,Julia P. Bryant Elementary School,616,Elementary School,912.212.8680,657.0,51.0,2.0,24.0,41.0,31.0,2.0
142,Statesboro High School,616,High School,912.212.8860,1640.0,88.0,5.0,31.0,40.0,22.0,3.0
143,Stilson Elementary School,616,Elementary School,912.842.8480,346.0,30.0,3.0,40.0,23.0,27.0,7.0
144,Portal Middle/High School,616,High School,912.842.8360,441.0,33.0,0.0,24.0,42.0,27.0,6.0
145,Mattie Lively Elementary School,616,Elementary School,912.212.8760,586.0,45.0,7.0,33.0,27.0,31.0,2.0
146,Sallie Zetterower Elementary School,616,Elementary School,912.212.8800,702.0,49.0,6.0,39.0,37.0,16.0,2.0
147,Blakeney Elementary,617,Elementary School,706.554.2265,762.0,56.0,0.0,38.0,34.0,25.0,4.0
148,Burke County Middle School,617,Middle School,706.554.3532,957.0,67.0,2.0,45.0,39.0,13.0,2.0
149,S G A Elementary School,617,Elementary School,912.569.4322,230.0,21.0,5.0,33.0,33.0,19.0,10.0
150,Burke County High School,617,High School,706.554.6691,1207.0,81.0,0.0,35.0,38.0,25.0,3.0
151,Waynesboro Primary School,617,Elementary School,706.554.5125,736.0,69.0,3.0,32.0,35.0,28.0,3.0
152,Henderson Middle School,618,Middle School,770.504.2310,834.0,51.0,14.0,39.0,33.0,12.0,0.0
153,Hampton L. Daughtry Elementary School,618,Elementary School,770.504.2356,470.0,38.0,5.0,37.0,42.0,16.0,0.0
154,Stark Elementary School,618,Elementary School,770.775.9470,552.0,43.0,2.0,49.0,28.0,16.0,5.0
155,Jackson Elementary School,618,Elementary School,770.775.9480,483.0,39.0,13.0,21.0,46.0,13.0,8.0
156,Jackson High School,618,High School,770.504.2340,981.0,60.0,8.0,37.0,35.0,18.0,2.0
157,Calhoun County High School,619,High School,229.213.0148,181.0,13.0,0.0,46.0,31.0,23.0,0.0
158,Calhoun County Elementary School,619,Elementary School,229.213.0147,212.0,16.0,0.0,44.0,31.0,25.0,0.0
159,Calhoun County Middle School,619,Middle School,229.213.0146,137.0,7.0,0.0,57.0,43.0,0.0,0.0
160,Mamie Lou Gross Elementary School,620,Elementary School,912.576.4800,514.0,37.0,3.0,35.0,49.0,14.0,0.0
161,Saint Marys Middle School,620,Middle School,912.882.8626,1020.0,64.0,2.0,28.0,38.0,23.0,9.0
162,Saint Marys Elementary School,620,Elementary School,912.882.4839,619.0,41.0,5.0,29.0,32.0,34.0,0.0
163,Camden Middle School,620,Middle School,912.729.3113,1046.0,63.0,2.0,24.0,32.0,35.0,8.0
164,Crooked River Elementary School,620,Elementary School,912.673.6995,550.0,35.0,3.0,29.0,34.0,31.0,3.0
165,Matilda Harris Elementary School,620,Elementary School,912.729.2940,560.0,34.0,6.0,35.0,27.0,27.0,6.0
166,Woodbine Elementary School,620,Elementary School,912.576.5245,389.0,26.0,4.0,12.0,46.0,39.0,0.0
167,Kingsland Elementary School,620,Elementary School,912.729.5246,410.0,28.0,14.0,43.0,14.0,14.0,14.0
168,David L Rainer Elementary School,620,Elementary School,912.729.9071,424.0,31.0,10.0,26.0,36.0,26.0,3.0
169,Sugarmill Elementary,620,Elementary School,912.882.8191,537.0,34.0,6.0,29.0,29.0,35.0,0.0
170,Camden County High School,620,High School,912.729.7318,2504.0,163.0,4.0,28.0,34.0,31.0,4.0
171,Mary Lee Clark Elementary School,620,Elementary School,912.882.4373,519.0,31.0,3.0,19.0,48.0,23.0,7.0
172,Metter High School,621,High School,912.685.2134,609.0,41.0,0.0,34.0,34.0,20.0,12.0
173,Metter Middle School,621,Middle School,912.685.5580,504.0,34.0,0.0,24.0,44.0,21.0,12.0
174,Metter Elementary School,621,Elementary School,912.685.5050,990.0,71.0,9.0,35.0,27.0,28.0,1.0
176,Sharp Creek Elementary School,622,Elementary School,770.214.8848,525.0,42.0,10.0,38.0,38.0,12.0,2.0
177,Bowdon Middle School,622,Middle School,770.258.1778,288.0,23.0,4.0,35.0,39.0,22.0,0.0
178,Temple Middle School,622,Middle School,770.562.6001,492.0,32.0,6.0,34.0,31.0,28.0,0.0
179,KidsPeace,622,High School,770.437.7200,61.0,6.0,50.0,50.0,0.0,0.0,0.0
180,Providence Elementary School,622,Elementary School,770.562.3076,422.0,28.0,4.0,54.0,32.0,11.0,0.0
181,Mount Zion Elementary School,622,Elementary School,770.832.8588,661.0,45.0,7.0,44.0,24.0,20.0,4.0
182,Central Middle School,622,Middle School,770.832.8114,953.0,62.0,2.0,27.0,37.0,27.0,7.0
183,Temple High School,622,High School,770.562.3218,627.0,37.0,0.0,32.0,35.0,27.0,5.0
184,Bay Springs Middle School,622,Middle School,770.459.2098,861.0,52.0,8.0,27.0,46.0,19.0,0.0
185,Mt. Zion Middle School,622,Middle School,770.834.3389,344.0,23.0,0.0,52.0,13.0,35.0,0.0
186,Mt. Zion High School,622,High School,770.834.6654,422.0,28.0,4.0,32.0,25.0,29.0,11.0
187,Villa Rica Middle,622,Middle School,770.459.0407,508.0,33.0,12.0,46.0,33.0,9.0,0.0
188,Roopville Elementary School,622,Elementary School,770.854.4421,365.0,27.0,4.0,30.0,37.0,30.0,0.0
189,Ithica Elementary,622,Elementary School,678.840.5101,712.0,46.0,7.0,26.0,48.0,17.0,2.0
190,Whitesburg Elementary School,622,Elementary School,770.832.3875,366.0,26.0,4.0,19.0,46.0,31.0,0.0
191,Glanton-Hindsman Elementary,622,Elementary School,770.459.4491,597.0,40.0,8.0,38.0,33.0,20.0,3.0
192,Villa Rica Elementary School,622,Elementary School,770.459.5762,416.0,32.0,13.0,28.0,41.0,16.0,3.0
193,Temple Elementary School,622,Elementary School,770.562.3076,538.0,37.0,5.0,41.0,46.0,5.0,3.0
194,Bowdon Elementary School,622,Elementary School,770.258.2161,582.0,43.0,5.0,30.0,30.0,28.0,7.0
195,Central High School,622,High School,770.834.3386,1173.0,68.0,4.0,43.0,28.0,19.0,6.0
196,Bowdon High School,622,High School,770.258.5408,412.0,25.0,4.0,36.0,40.0,20.0,0.0
197,Central Elementary School,622,Elementary School,770.832.6466,907.0,75.0,5.0,31.0,47.0,13.0,4.0
198,Sand Hill Elementary School,622,Elementary School,770.832.8541,621.0,45.0,2.0,38.0,36.0,22.0,2.0
199,Villa Rica High School,622,High School,770.459.5185,1637.0,78.0,5.0,42.0,30.0,19.0,4.0
200,Ringgold Primary School,623,Elementary School,706.937.5437,468.0,41.0,0.0,29.0,39.0,29.0,2.0
201,Battlefield Primary,623,Elementary School,706.861.5778,449.0,40.0,5.0,38.0,43.0,13.0,3.0
202,Battlefield Elementary School,623,Elementary School,706.866.9183,487.0,32.0,0.0,25.0,31.0,38.0,6.0
203,Woodstation Elementary School,623,Elementary School,706.935.6700,381.0,34.0,3.0,41.0,21.0,27.0,9.0
204,Heritage High School,623,High School,706.937.6464,1278.0,89.0,1.0,27.0,47.0,21.0,3.0
205,Tiger Creek Elementary School,623,Elementary School,706.935.9890,443.0,43.0,12.0,37.0,26.0,19.0,7.0
206,Heritage Middle School,623,Middle School,706.937.3568,935.0,68.0,2.0,16.0,38.0,35.0,9.0
207,Boynton Elementary School,623,Elementary School,706.866.1521,589.0,43.0,7.0,26.0,21.0,35.0,12.0
208,Lakeview-Fort Oglethorpe High School,623,High School,706.866.0342,980.0,70.0,7.0,33.0,31.0,23.0,6.0
209,West Side Elementary School,623,Elementary School,706.866.9211,469.0,40.0,8.0,40.0,33.0,15.0,5.0
210,Lakeview Middle School,623,Middle School,706.866.1040,798.0,61.0,5.0,25.0,44.0,16.0,10.0
211,Cloud Springs Elementary School,623,Elementary School,706.866.6640,357.0,37.0,8.0,35.0,30.0,11.0,16.0
212,Ringgold Elementary School,623,Elementary School,706.935.2912,459.0,35.0,3.0,14.0,43.0,26.0,14.0
213,Ringgold High School,623,High School,706.935.2254,1046.0,76.0,3.0,28.0,38.0,24.0,8.0
214,Graysville Elementary School,623,Elementary School,706.937.3147,513.0,38.0,5.0,26.0,26.0,32.0,11.0
215,Ringgold Middle School,623,Middle School,706.935.3381,780.0,57.0,2.0,33.0,40.0,18.0,7.0
216,Bethune Middle School,624,Middle School,912.496.2360,590.0,39.0,3.0,41.0,26.0,28.0,3.0
217,Folkston Elementary School,624,Elementary School,912.496.7369,456.0,38.0,8.0,24.0,29.0,32.0,8.0
218,Charlton County High School,624,High School,912.496.2501,425.0,28.0,4.0,21.0,39.0,25.0,11.0
219,St. George Elementary School,624,Elementary School,912.843.2383,157.0,16.0,0.0,31.0,6.0,63.0,0.0
220,Johnson High School,625,High School,912.395.6400,773.0,62.0,10.0,36.0,40.0,13.0,2.0
221,UHS of Savannah Coastal Harbor Treatment Center,625,High School,912.354.3911,53.0,6.0,0.0,0.0,33.0,67.0,0.0
222,Coastal Empire Montessori Charter School,625,Elementary School,912.395.4070,251.0,15.0,13.0,53.0,27.0,7.0,0.0
223,Woodville-Tompkins Technical and Career High School,625,High School,912.395.6750,661.0,42.0,10.0,43.0,24.0,19.0,5.0
224,Pulaski Elementary SChool,625,Elementary School,912.395.6466,599.0,51.0,4.0,57.0,24.0,16.0,0.0
225,New Hampstead High School,625,High School,912.395.6789,1327.0,72.0,7.0,46.0,35.0,11.0,1.0
226,Oglethorpe Charter School,625,Middle School,912.395.5075,604.0,43.0,0.0,37.0,40.0,21.0,2.0
227,The STEM Academy at Bartlett,625,Middle School,912.395.3500,695.0,50.0,8.0,50.0,30.0,8.0,4.0
228,Tybee Island Maritime Academy School,625,Elementary School,912.395.4060,284.0,23.0,0.0,44.0,22.0,30.0,4.0
229,Savannah Classical Academy Charter School,625,Elementary School,912.395.4040,266.0,27.0,15.0,63.0,15.0,7.0,0.0
230,Esther F. Garrison School for the Arts,625,Elementary School,912.395.5975,756.0,68.0,2.0,44.0,47.0,3.0,4.0
231,Georgetown School,625,Elementary School,912.395.3475,740.0,61.0,8.0,49.0,20.0,18.0,5.0
232,Garden City Elementary School,625,Elementary School,912.395.6820,426.0,37.0,0.0,35.0,43.0,19.0,3.0
233,West Chatham Middle School,625,Middle School,912.395.3650,918.0,68.0,7.0,35.0,46.0,12.0,0.0
234,West Chatham Elementary School,625,Elementary School,912.395.3600,750.0,60.0,3.0,43.0,37.0,17.0,0.0
235,DeRenne Middle School,625,Middle School,912.395.5900,664.0,46.0,9.0,48.0,20.0,24.0,0.0
236,The School of Liberal Studies at Savannah High,625,High School,912.395.5050,521.0,41.0,5.0,73.0,17.0,2.0,2.0
237,Godley Station School,625,Elementary School,912.395.6000,1708.0,108.0,9.0,43.0,35.0,13.0,0.0
238,Marshpoint Elementary School,625,Elementary School,912.395.4000,786.0,62.0,3.0,27.0,36.0,29.0,5.0
239,Southwest Middle School,625,Middle School,912.395.3540,815.0,54.0,20.0,46.0,17.0,15.0,2.0
240,Southwest Elementary School,625,Elementary School,912.395.3301,736.0,47.0,15.0,36.0,30.0,17.0,2.0
241,Myers Middle School,625,Middle School,912.395.6600,525.0,42.0,14.0,33.0,19.0,31.0,2.0
242,Coastal Middle School,625,Middle School,912.395.3950,727.0,58.0,3.0,26.0,31.0,35.0,5.0
243,Islands High School,625,High School,912.395.2000,1016.0,61.0,8.0,36.0,36.0,16.0,3.0
244,Savannah Arts Academy,625,High School,912.395.5000,949.0,64.0,0.0,27.0,33.0,38.0,3.0
245,Shuman Elementary School,625,Elementary School,912.395.4500,657.0,40.0,33.0,50.0,10.0,8.0,0.0
246,Rice Creek School,625,Elementary School,912.395.4100,825.0,60.0,7.0,57.0,25.0,12.0,0.0
247,Savannah Early College High School,625,High School,912.395.2535,239.0,10.0,10.0,40.0,30.0,20.0,0.0
248,School of Humanities at Juliette Gordon Low,625,K12,912.395.6380,720.0,53.0,11.0,49.0,25.0,13.0,2.0
249,Susie King Taylor Community School,625,Elementary School,912.289.7320,214.0,13.0,15.0,54.0,31.0,0.0,0.0
250,Savannah Classical Academy Charter High School,625,High School,912.395.4040,45.0,9.0,22.0,56.0,22.0,0.0,0.0
252,Otis J Brock III Elementary School,625,Elementary School,912.395.5300,469.0,36.0,6.0,56.0,25.0,11.0,3.0
253,Gadsden Elementary School,625,Elementary School,912.395.5940,532.0,40.0,13.0,43.0,28.0,15.0,3.0
254,Heard Elementary School,625,Elementary School,912.395.6630,588.0,48.0,0.0,42.0,35.0,23.0,0.0
